Interaction_ID,Tenant_ID,Listing_ID,Action_Type,Action_Date
INT000000,TNT03685,LST01317,View,2025-02-28
INT000001,TNT01340,LST00184,View,2025-03-12
INT000002,TNT03763,LST09143,Applied,2025-02-12
INT000003,TNT02015,LST02747,Save,2025-03-02
INT000004,TNT04303,LST04800,View,2025-03-05
INT000005,TNT01012,LST02344,Applied,2025-02-28
INT000006,TNT02067,LST09663,Applied,2025-03-08
INT000007,TNT04712,LST03033,Applied,2025-03-25
INT000008,TNT03689,LST00906,View,2025-03-01
INT000009,TNT00357,LST03243,Schedule_Inspection,2025-02-25
INT000010,TNT02732,LST05423,Save,2025-02-23
INT000011,TNT04238,LST03053,Save,2025-02-15
INT000012,TNT02219,LST05534,Save,2025-02-12
INT000013,TNT01678,LST06626,View,2025-02-28
INT000014,TNT03703,LST05595,View,2025-03-11
INT000015,TNT04725,LST03582,View,2025-02-01
INT000016,TNT00853,LST06427,Schedule_Inspection,2025-03-09
INT000017,TNT00395,LST04764,Save,2025-03-04
INT000018,TNT02970,LST01073,View,2025-03-27
INT000019,TNT00914,LST00642,Save,2025-03-19
INT000020,TNT04297,LST01260,View,2025-02-16
INT000021,TNT02018,LST07575,View,2025-03-18
INT000022,TNT04856,LST06229,Schedule_Inspection,2025-03-05
INT000023,TNT02923,LST08562,View,2025-02-18
INT000024,TNT03121,LST01353,View,2025-02-27
INT000025,TNT00764,LST03606,Schedule_Inspection,2025-04-01
INT000026,TNT03911,LST01218,Save,2025-03-07
INT000027,TNT02186,LST03399,View,2025-03-09
INT000028,TNT02702,LST04143,View,2025-02-24
INT000029,TNT03646,LST08976,Applied,2025-02-03
INT000030,TNT01368,LST04720,Schedule_Inspection,2025-02-03
INT000031,TNT03593,LST06227,View,2025-03-09
INT000032,TNT02289,LST03767,View,2025-03-03
INT000033,TNT02492,LST00103,Applied,2025-03-18
INT000034,TNT04014,LST01465,Applied,2025-02-24
INT000035,TNT02096,LST07111,View,2025-02-08
INT000036,TNT01017,LST09564,Save,2025-03-10
INT000037,TNT01568,LST02869,View,2025-03-03
INT000038,TNT00845,LST07347,Save,2025-03-17
INT000039,TNT04276,LST05370,View,2025-02-06
INT000040,TNT04388,LST07211,View,2025-02-10
INT000041,TNT04885,LST02329,View,2025-03-19
INT000042,TNT01244,LST05184,View,2025-03-19
INT000043,TNT04737,LST08516,Applied,2025-03-06
INT000044,TNT00915,LST07570,Save,2025-03-27
INT000045,TNT00474,LST07564,Schedule_Inspection,2025-03-21
INT000046,TNT03842,LST00115,View,2025-03-22
INT000047,TNT00441,LST01184,View,2025-02-18
INT000048,TNT04677,LST05814,Schedule_Inspection,2025-03-02
INT000049,TNT02404,LST05609,View,2025-03-06
INT000050,TNT03646,LST05781,Save,2025-02-06
INT000051,TNT03992,LST05401,Applied,2025-03-06
INT000052,TNT00196,LST05206,Applied,2025-03-29
INT000053,TNT02386,LST09765,Applied,2025-03-12
INT000054,TNT04040,LST08292,Applied,2025-02-06
INT000055,TNT01161,LST09920,View,2025-02-16
INT000056,TNT04720,LST03788,Schedule_Inspection,2025-03-03
INT000057,TNT02093,LST03562,Applied,2025-03-13
INT000058,TNT03032,LST07673,View,2025-03-20
