Landlord_ID,Name,Years_Listed,Verified_Status,Response_Rate,Listing_Count,Location_Focus
LLD0000,Landlord_0,3,True,48,6,Yaba
LLD0001,Landlord_1,4,False,65,7,Ajah
LLD0002,Landlord_2,2,True,58,10,Ikeja
LLD0003,Landlord_3,4,False,89,19,Iyana Ipaja
LLD0004,Landlord_4,4,True,31,19,Ajah
LLD0005,Landlord_5,1,True,30,12,Iyana Ipaja
LLD0006,Landlord_6,2,False,76,3,Lekki
LLD0007,Landlord_7,2,True,98,13,Surulere
LLD0008,Landlord_8,2,True,49,18,Ajah
LLD0009,Landlord_9,4,False,40,8,Lekki
LLD0010,Landlord_10,3,False,31,15,Ajah
LLD0011,Landlord_11,2,True,96,1,Ajah
LLD0012,Landlord_12,4,True,41,3,Lekki
LLD0013,Landlord_13,1,True,49,8,Ikeja
LLD0014,Landlord_14,3,True,34,4,Yaba
LLD0015,Landlord_15,1,True,66,16,Iyana Ipaja
LLD0016,Landlord_16,3,True,67,10,Ajah
LLD0017,Landlord_17,4,False,38,12,Iyana Ipaja
LLD0018,Landlord_18,0,False,82,14,Surulere
LLD0019,Landlord_19,3,False,73,14,Lekki
LLD0020,Landlord_20,1,True,53,2,Iyana Ipaja
LLD0021,Landlord_21,4,True,59,5,Lekki
LLD0022,Landlord_22,3,True,88,5,Iyana Ipaja
LLD0023,Landlord_23,0,True,43,6,Yaba
LLD0024,Landlord_24,0,True,38,13,Yaba
LLD0025,Landlord_25,2,False,69,9,Yaba
LLD0026,Landlord_26,2,True,95,15,Yaba
LLD0027,Landlord_27,1,True,54,14,Yaba
LLD0028,Landlord_28,3,True,51,7,Yaba
LLD0029,Landlord_29,3,False,33,2,Lekki
LLD0030,Landlord_30,2,True,55,7,Ajah
LLD0031,Landlord_31,3,True,87,6,Iyana Ipaja
LLD0032,Landlord_32,3,True,58,17,Yaba
LLD0033,Landlord_33,0,False,66,2,Lekki
LLD0034,Landlord_34,2,True,99,3,Lekki
LLD0035,Landlord_35,4,False,47,5,Lekki
LLD0036,Landlord_36,2,False,71,5,Ajah
LLD0037,Landlord_37,4,True,70,1,Iyana Ipaja
LLD0038,Landlord_38,0,True,67,8,Ajah
LLD0039,Landlord_39,1,False,63,12,Ikeja
LLD0040,Landlord_40,3,True,46,4,Lekki
LLD0041,Landlord_41,0,True,66,13,Ikeja
LLD0042,Landlord_42,3,False,54,15,Surulere
LLD0043,Landlord_43,1,False,56,11,Yaba
LLD0044,Landlord_44,1,False,86,10,Yaba
LLD0045,Landlord_45,0,False,60,3,Ajah
LLD0046,Landlord_46,1,True,35,14,Iyana Ipaja
LLD0047,Landlord_47,4,True,69,16,Ikeja
LLD0048,Landlord_48,1,False,41,10,Iyana Ipaja
LLD0049,Landlord_49,3,True,82,10,Ajah
LLD0050,Landlord_50,3,True,39,12,Yaba
LLD0051,Landlord_51,3,False,74,9,Iyana Ipaja
LLD0052,Landlord_52,3,True,46,1,Iyana Ipaja
LLD0053,Landlord_53,4,True,55,5,Yaba
LLD0054,Landlord_54,2,True,91,8,Ikeja
LLD0055,Landlord_55,0,True,75,11,Yaba
LLD0056,Landlord_56,3,True,93,12,Iyana Ipaja
LLD0057,Landlord_57,1,True,31,1,Ikeja
LLD0058,Landlord_58,3,True,83,11,Ikeja
LLD0059,Landlord_59,1,True,94,5,Yaba
LLD0060,Landlord_60,1,False,80,15,Iyana Ipaja
LLD0061,Landlord_61,3,True,82,5,Ajah
LLD0062,Landlord_62,4,False,65,12,Iyana Ipaja
LLD0063,Landlord_63,1,True,55,5,Lekki
LLD0064,Landlord_64,1,True,58,17,Surulere
LLD0065,Landlord_65,3,False,50,17,Ajah
LLD0066,Landlord_66,1,True,40,12,Ikeja
LLD0067,Landlord_67,1,False,69,15,Ajah
LLD0068,Landlord_68,3,True,40,15,Ikeja
LLD0069,Landlord_69,3,False,65,6,Ikeja
LLD0070,Landlord_70,0,True,88,12,Ajah
LLD0071,Landlord_71,4,False,68,18,Ikeja
LLD0072,Landlord_72,4,True,83,14,Ikeja
LLD0073,Landlord_73,1,False,84,2,Lekki
LLD0074,Landlord_74,4,True,53,9,Iyana Ipaja
LLD0075,Landlord_75,1,True,51,5,Iyana Ipaja
LLD0076,Landlord_76,0,False,98,1,Surulere
LLD0077,Landlord_77,3,True,85,3,Surulere
LLD0078,Landlord_78,3,True,62,6,Lekki
LLD0079,Landlord_79,3,True,65,5,Surulere
LLD0080,Landlord_80,4,True,49,5,Ajah
LLD0081,Landlord_81,0,True,91,1,Yaba
LLD0082,Landlord_82,4,True,55,17,Yaba
LLD0083,Landlord_83,4,False,95,19,Yaba
LLD0084,Landlord_84,0,True,69,14,Lekki
LLD0085,Landlord_85,0,True,46,12,Lekki
LLD0086,Landlord_86,0,False,30,10,Ikeja
LLD0087,Landlord_87,0,False,90,18,Yaba
LLD0088,Landlord_88,3,True,72,11,Ajah
LLD0089,Landlord_89,2,True,71,2,Surulere
LLD0090,Landlord_90,2,True,54,18,Ajah
LLD0091,Landlord_91,0,True,68,7,Surulere
LLD0092,Landlord_92,2,True,64,15,Yaba
LLD0093,Landlord_93,2,True,32,11,Yaba
LLD0094,Landlord_94,0,True,73,18,Yaba
LLD0095,Landlord_95,2,True,80,12,Lekki
LLD0096,Landlord_96,4,False,41,6,Surulere
LLD0097,Landlord_97,1,False,48,13,Lekki
LLD0098,Landlord_98,1,True,73,16,Lekki
LLD0099,Landlord_99,0,True,88,18,Iyana Ipaja
LLD0100,Landlord_100,3,True,78,10,Ajah
LLD0101,Landlord_101,0,False,90,8,Ajah
LLD0102,Landlord_102,3,True,46,18,Ikeja
LLD0103,Landlord_103,1,True,86,1,Lekki
LLD0104,Landlord_104,0,False,84,8,Surulere
LLD0105,Landlord_105,4,False,76,6,Iyana Ipaja
LLD0106,Landlord_106,2,False,41,5,Iyana Ipaja
LLD0107,Landlord_107,3,False,91,15,Ajah
LLD0108,Landlord_108,2,True,37,15,Lekki
LLD0109,Landlord_109,2,True,50,2,Ikeja
LLD0110,Landlord_110,0,False,99,1,Lekki
LLD0111,Landlord_111,2,False,54,11,Yaba
LLD0112,Landlord_112,4,True,41,10,Lekki
LLD0113,Landlord_113,2,True,44,18,Yaba
LLD0114,Landlord_114,0,True,88,18,Yaba
LLD0115,Landlord_115,4,False,55,17,Ikeja
LLD0116,Landlord_116,1,False,55,8,Surulere
LLD0117,Landlord_117,2,True,76,15,Ajah
LLD0118,Landlord_118,0,True,61,8,Lekki
LLD0119,Landlord_119,1,True,39,17,Yaba
LLD0120,Landlord_120,1,False,45,12,Lekki
LLD0121,Landlord_121,3,False,46,8,Surulere
LLD0122,Landlord_122,4,False,52,14,Ajah
LLD0123,Landlord_123,2,True,55,4,Surulere
LLD0124,Landlord_124,0,True,36,1,Ajah
LLD0125,Landlord_125,3,True,43,1,Iyana Ipaja
LLD0126,Landlord_126,4,True,36,19,Ajah
LLD0127,Landlord_127,3,False,38,16,Ikeja
LLD0128,Landlord_128,4,False,77,14,Surulere
LLD0129,Landlord_129,4,False,88,16,Yaba
LLD0130,Landlord_130,2,False,68,5,Iyana Ipaja
LLD0131,Landlord_131,4,True,47,9,Ikeja
LLD0132,Landlord_132,3,False,88,2,Lekki
LLD0133,Landlord_133,4,False,46,18,Surulere
LLD0134,Landlord_134,2,False,43,6,Yaba
LLD0135,Landlord_135,2,True,60,9,Ajah
LLD0136,Landlord_136,3,True,53,1,Yaba
LLD0137,Landlord_137,1,True,89,9,Lekki
LLD0138,Landlord_138,1,False,74,16,Iyana Ipaja
LLD0139,Landlord_139,4,True,32,13,Iyana Ipaja
LLD0140,Landlord_140,0,True,66,9,Surulere
LLD0141,Landlord_141,4,True,72,13,Iyana Ipaja
LLD0142,Landlord_142,3,True,69,9,Surulere
LLD0143,Landlord_143,3,True,84,11,Surulere
