Listing_ID,Landlord_ID,Property_Type,Bedrooms,Bathrooms,Location,Monthly_Rent,Service_Charge,Availability_Status,Date_Listed
LST00000,LLD0296,Flat,3,1,Surulere,195057,20000,Rented,2025-03-23
LST00001,LLD0163,Flat,1,2,Iyana Ipaja,414560,10000,Rented,2025-01-15
LST00002,LLD0484,Flat,1,2,Ikeja,264525,0,Rented,2025-01-04
LST00003,LLD0084,Self-Contain,3,1,Yaba,434754,20000,Inactive,2025-04-05
LST00004,LLD0071,Self-Contain,2,2,Ikeja,444678,,Available,2025-02-05
LST00005,LLD0054,Self-Contain,1,1,Lekki,74082,20000,Available,2025-02-01
LST00006,LLD0392,Flat,1,1,Ikeja,445081,20000,Rented,2025-01-29
LST00007,LLD0046,Self-Contain,1,1,Yaba,348921,20000,Available,2025-01-18
LST00008,LLD0398,Single Room,2,2,Yaba,192394,10000,Rented,2025-04-05
LST00009,LLD0431,Flat,3,2,Yaba,208834,0,Available,2025-01-14
LST00010,LLD0237,Self-Contain,2,1,Ajah,326682,10000,Available,2025-03-28
LST00011,LLD0103,Flat,1,1,Ajah,369269,0,Available,2025-04-05
LST00012,LLD0209,Single Room,3,2,Lekki,254318,20000,Inactive,2025-04-25
LST00013,LLD0041,Single Room,2,2,Ikeja,311313,30000,Rented,2025-03-11
LST00014,LLD0315,Flat,3,2,Iyana Ipaja,140583,10000,Inactive,2025-01-12
LST00015,LLD0467,Flat,1,2,Surulere,446393,0,Available,2025-03-17
LST00016,LLD0453,Single Room,2,1,Lekki,77502,10000,Inactive,2025-02-24
LST00017,LLD0267,Flat,3,1,Iyana Ipaja,442132,10000,Inactive,2025-01-05
LST00018,LLD0385,Single Room,2,2,Iyana Ipaja,331393,10000,Inactive,2025-01-04
LST00019,LLD0262,Single Room,1,2,Lekki,53197,10000,Available,2025-01-12
LST00020,LLD0335,Self-Contain,3,2,Ikeja,85229,10000,Inactive,2025-01-28
LST00021,LLD0386,Flat,1,2,Surulere,336310,,Available,2025-01-30
LST00022,LLD0364,Flat,3,1,Iyana Ipaja,451908,10000,Rented,2025-03-06
LST00023,LLD0258,Self-Contain,1,2,Ajah,156298,20000,Available,2025-03-19
LST00024,LLD0282,Single Room,1,2,Ajah,313919,20000,Available,2025-01-04
LST00025,LLD0113,Flat,2,1,Lekki,344800,10000,Available,2025-03-13
LST00026,LLD0362,Self-Contain,1,2,Surulere,50606,30000,Rented,2025-01-26
LST00027,LLD0039,Self-Contain,2,1,Surulere,369425,20000,Rented,2025-04-02
LST00028,LLD0485,Flat,1,1,Iyana Ipaja,319519,0,Available,2025-03-25
LST00029,LLD0416,Self-Contain,1,1,Lekki,180708,0,Available,2025-03-31
LST00030,LLD0219,Single Room,1,2,Surulere,439469,20000,Rented,2025-03-11
LST00031,LLD0128,Self-Contain,3,1,Surulere,50819,10000,Rented,2025-02-23
LST00032,LLD0007,Single Room,2,2,Ajah,126992,10000,Available,2025-01-29
LST00033,LLD0100,Single Room,3,2,Lekki,212445,0,Rented,2025-02-27
LST00034,LLD0415,Flat,2,1,Iyana Ipaja,443999,0,Available,2025-03-17
LST00035,LLD0379,Self-Contain,1,1,Iyana Ipaja,494214,20000,Available,2025-02-05
LST00036,LLD0175,Single Room,3,1,Ajah,57560,30000,Available,2025-04-14
LST00037,LLD0106,Single Room,2,2,Yaba,341312,20000,Rented,2025-04-22
LST00038,LLD0100,Self-Contain,1,2,Yaba,205336,10000,Rented,2025-01-01
LST00039,LLD0259,Single Room,2,1,Surulere,438769,,Rented,2025-04-08
LST00040,LLD0477,Self-Contain,2,2,Ikeja,411580,20000,Available,2025-04-14
LST00041,LLD0453,Flat,1,1,Ajah,306928,20000,Available,2025-01-21
LST00042,LLD0365,Single Room,3,2,Ikeja,257317,0,Inactive,2025-03-31
LST00043,LLD0245,Single Room,1,2,Surulere,128598,10000,Available,2025-02-24
LST00044,LLD0274,Self-Contain,3,2,Ajah,490017,30000,Available,2025-02-13
LST00045,LLD0031,Self-Contain,2,2,Iyana Ipaja,125924,10000,Inactive,2025-02-05
LST00046,LLD0136,Self-Contain,2,1,Ajah,228431,20000,Available,2025-01-20
LST00047,LLD0011,Self-Contain,2,1,Lekki,209108,20000,Available,2025-01-28
LST00048,LLD0394,Single Room,3,1,Ikeja,55318,0,Rented,2025-04-08
LST00049,LLD0301,Flat,1,2,Ajah,366858,20000,Inactive,2025-02-13
LST00050,LLD0374,Flat,3,2,Ikeja,342688,0,Rented,2025-01-14
LST00051,LLD0015,Flat,2,1,Surulere,311305,20000,Inactive,2025-01-12
LST00052,LLD0128,Flat,2,1,Ajah,332967,,Available,2025-02-18
LST00053,LLD0062,Self-Contain,1,1,Yaba,230900,,Inactive,2025-01-13
LST00054,LLD0108,Single Room,3,2,Ikeja,416699,30000,Rented,2025-02-15
LST00055,LLD0374,Single Room,2,1,Iyana Ipaja,329122,20000,Available,2025-04-19
LST00056,LLD0020,Single Room,3,1,Iyana Ipaja,209532,20000,Rented,2025-02-14
LST00057,LLD0157,Self-Contain,3,1,Ajah,487327,20000,Inactive,2025-03-19
LST00058,LLD0268,Single Room,1,1,Iyana Ipaja,446540,0,Inactive,2025-02-03
LST00059,LLD0161,Self-Contain,1,1,Iyana Ipaja,269160,0,Inactive,2025-04-14
LST00060,LLD0259,Single Room,2,1,Ikeja,498794,20000,Rented,2025-01-06
LST00061,LLD0411,Flat,1,1,Ajah,172418,0,Available,2025-04-04
LST00062,LLD0101,Self-Contain,3,1,Ikeja,184006,,Available,2025-02-28
LST00063,LLD0222,Single Room,1,1,Ajah,55033,10000,Rented,2025-03-10
LST00064,LLD0058,Flat,3,2,Iyana Ipaja,417211,10000,Rented,2025-01-16
LST00065,LLD0246,Flat,2,1,Ajah,187158,10000,Rented,2025-04-29
LST00066,LLD0127,Flat,3,1,Surulere,480317,30000,Available,2025-02-18
