Outcome_ID,Listing_ID,Tenant_ID,Offer_Accepted,Offer_Date,Final_Rent,Lease_Signed
RNT00000,LST09291,TNT02397,True,2025-03-02,378060,True
RNT00001,LST03958,TNT04318,False,2025-04-18,355262,False
RNT00002,LST02104,TNT03649,True,2025-03-09,400104,True
RNT00003,LST04278,TNT03349,True,2025-04-29,324656,True
RNT00004,LST06390,TNT02040,True,2025-04-23,169760,True
RNT00005,LST03822,TNT04610,True,2025-04-10,325887,True
RNT00006,LST02855,TNT00234,True,2025-04-12,136658,True
RNT00007,LST06715,TNT02397,True,2025-03-25,323732,True
RNT00008,LST02767,TNT04527,True,2025-04-20,161341,True
RNT00009,LST08037,TNT01706,False,2025-04-17,194476,True
RNT00010,LST08085,TNT01958,False,2025-04-22,480257,True
RNT00011,LST01015,TNT02768,False,2025-03-05,465715,True
RNT00012,LST04912,TNT02224,True,2025-03-08,305104,True
RNT00013,LST00260,TNT02619,True,2025-04-05,462526,False
RNT00014,LST06453,TNT03797,True,2025-03-28,221789,True
RNT00015,LST00732,TNT04694,True,2025-04-02,281678,True
RNT00016,LST06104,TNT02162,True,2025-04-25,286320,True
RNT00017,LST00228,TNT00106,True,2025-04-25,240288,True
RNT00018,LST05908,TNT02667,False,2025-03-02,491316,True
RNT00019,LST07271,TNT00619,True,2025-04-17,235290,True
RNT00020,LST00543,TNT02687,False,2025-03-08,404531,False
RNT00021,LST01435,TNT04394,False,2025-03-02,71476,False
RNT00022,LST05045,TNT03289,True,2025-04-08,241258,True
RNT00023,LST09739,TNT01860,True,2025-04-26,411586,True
RNT00024,LST09769,TNT01343,True,2025-04-30,235122,False
RNT00025,LST07763,TNT01008,True,2025-04-20,445030,True
RNT00026,LST06266,TNT04469,True,2025-03-15,328614,True
RNT00027,LST04462,TNT03964,True,2025-03-28,75266,True
RNT00028,LST00626,TNT02607,True,2025-04-23,297448,True
RNT00029,LST01700,TNT01429,False,2025-03-01,381255,True
RNT00030,LST02693,TNT01583,True,2025-04-07,424729,False
RNT00031,LST02517,TNT04190,True,2025-04-11,347356,True
RNT00032,LST01096,TNT04179,True,2025-03-05,451236,True
RNT00033,LST00595,TNT00481,True,2025-04-07,124258,True
RNT00034,LST05876,TNT04532,True,2025-03-18,464072,True
RNT00035,LST08198,TNT03853,True,2025-04-24,267184,False
RNT00036,LST02569,TNT00610,True,2025-04-06,348370,True
RNT00037,LST01056,TNT01953,False,2025-03-01,447255,False
RNT00038,LST04462,TNT04656,True,2025-04-22,293503,True
RNT00039,LST01707,TNT00354,False,2025-04-05,367844,True
RNT00040,LST01069,TNT02614,True,2025-03-05,109561,True
RNT00041,LST02116,TNT02577,False,2025-04-11,369826,False
RNT00042,LST07495,TNT04156,True,2025-03-30,141610,True
RNT00043,LST02929,TNT02738,True,2025-03-04,424153,True
RNT00044,LST09976,TNT03364,True,2025-03-04,331285,True
RNT00045,LST05570,TNT00722,True,2025-04-25,86344,True
RNT00046,LST01886,TNT00438,True,2025-03-13,359234,False
RNT00047,LST03854,TNT00554,False,2025-03-09,186899,True
RNT00048,LST07307,TNT03112,True,2025-04-01,125439,True
RNT00049,LST06512,TNT03105,True,2025-04-14,228084,True
RNT00050,LST07164,TNT03197,True,2025-03-26,203575,False
RNT00051,LST05117,TNT00067,True,2025-04-12,401613,True
RNT00052,LST01365,TNT00634,True,2025-03-11,178181,True
RNT00053,LST08196,TNT03073,True,2025-04-03,339006,False
RNT00054,LST01524,TNT04526,True,2025-03-02,149578,True
RNT00055,LST09532,TNT01466,True,2025-03-23,236664,True
RNT00056,LST09940,TNT01661,False,2025-04-29,188607,True
RNT00057,LST07893,TNT02992,False,2025-04-24,437312,True
RNT00058,LST09019,TNT03995,False,2025-04-21,346446,True
RNT00059,LST07466,TNT02094,True,2025-04-12,262773,True
RNT00060,LST07376,TNT01926,True,2025-04-12,277291,True
RNT00061,LST05289,TNT03506,True,2025-04-14,392822,False
RNT00062,LST02520,TNT04477,False,2025-04-03,355188,True
RNT00063,LST05656,TNT00456,False,2025-03-30,247059,True
RNT00064,LST09067,TNT02521,False,2025-03-30,329437,True
RNT00065,LST09999,TNT02701,True,2025-04-22,70105,True
RNT00066,LST00966,TNT03504,True,2025-04-01,55733,True
RNT00067,LST07028,TNT02603,True,2025-04-24,375153,True
RNT00068,LST00326,TNT01182,True,2025-04-01,489059,False
RNT00069,LST05084,TNT01180,True,2025-04-20,305550,False
RNT00070,LST01320,TNT03727,True,2025-03-04,410551,False
RNT00071,LST01071,TNT02139,False,2025-03-06,283964,True
RNT00072,LST03185,TNT04318,True,2025-03-18,300143,True
RNT00073,LST05122,TNT04281,True,2025-04-12,489737,False
RNT00074,LST08171,TNT01168,True,2025-04-07,276795,True
RNT00075,LST00170,TNT02343,True,2025-03-30,494106,True
RNT00076,LST00008,TNT01294,True,2025-03-09,229698,True
RNT00077,LST04513,TNT04613,True,2025-04-14,75984,True
RNT00078,LST05141,TNT04324,True,2025-03-25,237193,False
RNT00079,LST03421,TNT02676,True,2025-04-02,429225,False
RNT00080,LST06202,TNT01757,True,2025-03-09,329704,True
RNT00081,LST00184,TNT04024,False,2025-04-26,421818,True
RNT00082,LST09411,TNT02235,False,2025-03-07,256287,True
RNT00083,LST04065,TNT00889,False,2025-03-07,117046,True
RNT00084,LST07375,TNT00637,True,2025-04-06,375778,True
RNT00085,LST05325,TNT03691,True,2025-03-22,469840,True
RNT00086,LST01658,TNT02387,True,2025-03-28,304351,False
RNT00087,LST00252,TNT00129,False,2025-04-11,389781,True
RNT00088,LST09013,TNT03446,False,2025-04-11,339772,True
RNT00089,LST01415,TNT03083,False,2025-04-19,391187,False
RNT00090,LST09166,TNT04822,True,2025-04-17,287161,False
RNT00091,LST05247,TNT04540,True,2025-04-08,130140,False
RNT00092,LST05053,TNT02979,True,2025-04-28,108463,True
RNT00093,LST08985,TNT00763,True,2025-03-26,307675,False
RNT00094,LST09761,TNT01715,False,2025-03-20,408662,True
RNT00095,LST09393,TNT04001,True,2025-03-28,59413,False
RNT00096,LST06439,TNT02599,True,2025-03-02,496574,False
RNT00097,LST06111,TNT02726,True,2025-04-01,363348,True
RNT00098,LST05834,TNT01508,False,2025-03-29,182258,False
RNT00099,LST03518,TNT02727,True,2025-03-13,76310,True
RNT00100,LST05365,TNT04738,False,2025-04-10,457503,True
RNT00101,LST01091,TNT00217,True,2025-03-21,108968,True
RNT00102,LST04909,TNT00812,True,2025-04-08,81233,True
RNT00103,LST06018,TNT04794,True,2025-03-24,72667,True
RNT00104,LST03745,TNT01555,True,2025-03-25,183229,False
RNT00105,LST08678,TNT03011,True,2025-04-14,398019,True
RNT00106,LST00525,TNT01474,True,2025-04-21,218743,False
RNT00107,LST05277,TNT03401,False,2025-04-06,423139,True
RNT00108,LST00901,TNT02724,True,2025-04-13,109700,True
RNT00109,LST06282,TNT03625,True,2025-03-08,324067,True
RNT00110,LST09893,TNT01478,True,2025-04-07,348162,False
RNT00111,LST08835,TNT00699,False,2025-04-22,349678,True
RNT00112,LST02745,TNT00479,False,2025-03-11,490133,False
RNT00113,LST02069,TNT00385,True,2025-03-10,182652,True
RNT00114,LST05680,TNT04371,True,2025-03-03,235718,False
RNT00115,LST02185,TNT01188,False,2025-03-23,398655,True
RNT00116,LST04027,TNT03614,False,2025-04-25,313222,True
RNT00117,LST09979,TNT04416,True,2025-04-22,228108,False
RNT00118,LST07547,TNT00045,True,2025-04-27,387837,True
RNT00119,LST07185,TNT00978,True,2025-04-24,271127,True
RNT00120,LST05994,TNT00104,True,2025-03-08,314965,True
RNT00121,LST09222,TNT02150,False,2025-03-14,51262,True
RNT00122,LST06113,TNT02113,True,2025-03-24,420007,False
RNT00123,LST09266,TNT01449,True,2025-03-26,287307,False
RNT00124,LST06992,TNT03539,False,2025-03-16,406428,True
RNT00125,LST01279,TNT02326,True,2025-04-24,342554,True
RNT00126,LST02131,TNT00315,False,2025-04-29,287534,True
RNT00127,LST07502,TNT01688,True,2025-04-16,273966,False
RNT00128,LST07337,TNT00231,False,2025-04-23,132343,True
RNT00129,LST02761,TNT04155,True,2025-04-06,82269,True
RNT00130,LST06246,TNT03987,True,2025-04-29,374614,True
RNT00131,LST02223,TNT03200,False,2025-04-17,157452,False
RNT00132,LST06593,TNT02365,False,2025-04-12,333338,True
RNT00133,LST00796,TNT01966,True,2025-03-30,485291,True
RNT00134,LST04657,TNT04517,True,2025-04-21,473259,True
RNT00135,LST05937,TNT02631,False,2025-03-19,61862,True
RNT00136,LST04159,TNT03363,True,2025-04-16,296437,True
RNT00137,LST03051,TNT03584,False,2025-04-03,369763,True
RNT00138,LST08656,TNT03233,True,2025-04-20,140427,True
RNT00139,LST01846,TNT04777,True,2025-04-12,308558,True
RNT00140,LST09309,TNT04886,True,2025-04-09,393268,False
RNT00141,LST00386,TNT02826,True,2025-03-12,214302,True
RNT00142,LST07071,TNT04144,True,2025-03-23,491345,False
RNT00143,LST05281,TNT04346,True,2025-03-03,409223,True
RNT00144,LST02335,TNT00357,True,2025-03-04,427377,True
RNT00145,LST00078,TNT01589,True,2025-04-01,107794,True
RNT00146,LST07586,TNT00650,False,2025-03-23,145759,True
RNT00147,LST04393,TNT02096,True,2025-03-07,311211,True
RNT00148,LST07946,TNT00134,True,2025-03-28,285993,True
RNT00149,LST03224,TNT04139,True,2025-03-30,250542,True
RNT00150,LST03568,TNT00438,True,2025-04-17,131670,True
RNT00151,LST06610,TNT04076,True,2025-03-18,262085,False
RNT00152,LST02517,TNT02651,False,2025-04-26,199104,True
RNT00153,LST03829,TNT03068,True,2025-04-21,289478,True
RNT00154,LST07442,TNT03705,False,2025-04-16,281970,True
RNT00155,LST04924,TNT04014,False,2025-04-03,182004,True
RNT00156,LST02774,TNT01777,True,2025-03-27,383790,True
RNT00157,LST01551,TNT01338,True,2025-04-10,225144,True
RNT00158,LST04166,TNT03545,True,2025-03-31,254211,True
RNT00159,LST08166,TNT03770,True,2025-03-13,223090,False
RNT00160,LST01175,TNT01254,True,2025-03-24,462420,True
RNT00161,LST01400,TNT00021,True,2025-04-04,408985,True
RNT00162,LST05400,TNT03089,False,2025-03-08,173064,False
RNT00163,LST01354,TNT03930,False,2025-04-05,199104,True
RNT00164,LST06586,TNT02647,True,2025-03-09,344115,True
RNT00165,LST04946,TNT03464,True,2025-04-16,236757,True
