Tenant_ID,Full_Name,Age_Group,Occupation,Budget(minimum),Budget(Maximum),Inspection_Count,Has_Active_Application
TNT00000,Tenant_0,46 - 60,Student,300000,500000,5,FALSE
TNT00001,Tenant_1,36 - 45,Freelancer,300000,500000,0,TRUE
TNT00002,Tenant_2,26 - 35,Banker,200000,300000,5,FALSE
TNT00003,Tenant_3,18 - 25,Civil Servant,100000,150000,3,TRUE
TNT00004,Tenant_4,46 - 60,Student,300000,500000,2,FALSE
TNT00005,Tenant_5,46 - 60,Trader,100000,150000,4,TRUE
TNT00006,Tenant_6,26 - 35,Engineer,100000,150000,1,FALSE
TNT00007,Tenant_7,18 - 25,Banker,100000,150000,5,FALSE
TNT00008,Tenant_8,18 - 25,Civil Servant,150000,200000,4,TRUE
TNT00009,Tenant_9,36 - 45,Engineer,300000,500000,5,FALSE
TNT00010,Tenant_10,26 - 35,Engineer,200000,300000,0,TRUE
TNT00011,Tenant_11,36 - 45,Engineer,200000,300000,1,FALSE
TNT00012,Tenant_12,26 - 35,Freelancer,150000,200000,3,FALSE
TNT00013,Tenant_13,26 - 35,Student,300000,500000,5,FALSE
TNT00014,Tenant_14,26 - 35,Engineer,200000,300000,2,TRUE
TNT00015,Tenant_15,18 - 25,Civil Servant,100000,150000,3,FALSE
TNT00016,Tenant_16,36 - 45,Banker,200000,300000,0,TRUE
TNT00017,Tenant_17,36 - 45,Freelancer,300000,500000,5,FALSE
TNT00018,Tenant_18,46 - 60,Student,100000,150000,0,TRUE
TNT00019,Tenant_19,36 - 45,Banker,150000,200000,4,FALSE
TNT00020,Tenant_20,46 - 60,Freelancer,200000,300000,4,FALSE
TNT00021,Tenant_21,46 - 60,Freelancer,200000,300000,5,FALSE
TNT00022,Tenant_22,18 - 25,Civil Servant,150000,200000,4,TRUE
TNT00023,Tenant_23,46 - 60,Civil Servant,300000,500000,0,FALSE
TNT00024,Tenant_24,26 - 35,Student,100000,150000,1,TRUE
TNT00025,Tenant_25,26 - 35,Civil Servant,200000,300000,5,FALSE
TNT00026,Tenant_26,18 - 25,Engineer,300000,500000,3,TRUE
TNT00027,Tenant_27,26 - 35,Banker,100000,150000,3,FALSE
TNT00028,Tenant_28,26 - 35,Trader,200000,300000,2,FALSE
TNT00029,Tenant_29,36 - 45,Engineer,300000,500000,2,TRUE
TNT00030,Tenant_30,18 - 25,Trader,300000,500000,1,TRUE
TNT00031,Tenant_31,26 - 35,Banker,150000,200000,4,FALSE
TNT00032,Tenant_32,18 - 25,Civil Servant,200000,300000,4,FALSE
TNT00033,Tenant_33,18 - 25,Trader,100000,150000,1,FALSE
TNT00034,Tenant_34,26 - 35,Trader,200000,300000,3,FALSE
TNT00035,Tenant_35,26 - 35,Student,150000,200000,4,FALSE
TNT00036,Tenant_36,46 - 60,Student,100000,150000,3,FALSE
TNT00037,Tenant_37,18 - 25,Civil Servant,300000,500000,0,TRUE
TNT00038,Tenant_38,18 - 25,Student,150000,200000,5,TRUE
TNT00039,Tenant_39,26 - 35,Trader,100000,150000,2,FALSE
TNT00040,Tenant_40,46 - 60,Civil Servant,100000,150000,4,FALSE
TNT00041,Tenant_41,36 - 45,Trader,200000,300000,2,FALSE
TNT00042,Tenant_42,26 - 35,Freelancer,300000,500000,1,FALSE
TNT00043,Tenant_43,46 - 60,Freelancer,150000,200000,5,TRUE
TNT00044,Tenant_44,18 - 25,Student,300000,500000,0,FALSE
TNT00045,Tenant_45,18 - 25,Freelancer,150000,200000,4,TRUE
TNT00046,Tenant_46,26 - 35,Engineer,200000,300000,4,FALSE
TNT00047,Tenant_47,46 - 60,Freelancer,100000,150000,3,FALSE
TNT00048,Tenant_48,26 - 35,Freelancer,200000,300000,2,FALSE
TNT00049,Tenant_49,18 - 25,Engineer,150000,200000,0,FALSE
TNT00050,Tenant_50,46 - 60,Engineer,300000,500000,5,TRUE
TNT00051,Tenant_51,46 - 60,Banker,100000,150000,3,TRUE
TNT00052,Tenant_52,18 - 25,Trader,150000,200000,5,FALSE
TNT00053,Tenant_53,18 - 25,Trader,100000,150000,0,FALSE
TNT00054,Tenant_54,36 - 45,Civil Servant,100000,150000,0,TRUE
TNT00055,Tenant_55,36 - 45,Student,200000,300000,1,FALSE
TNT00056,Tenant_56,18 - 25,Civil Servant,150000,200000,1,FALSE
